id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2024-05-20,Cliente_008,Mouse,Perifericos,Sudeste,1,115.1
3,2024-12-23,Cliente_001,Tablet,Celulares,Nordeste,3,1777.71
4,2024-08-23,Cliente_017,Tablet,Celulares,Nordeste,1,1810.43
5,2024-01-24,Cliente_013,Teclado,Perifericos,Centro-Oeste,2,256.45
6,2024-07-08,Cliente_024,Mouse,Perifericos,Norte,3,117.22
7,2024-08-24,Cliente_016,Mouse,Perifericos,Sudeste,3,117.69
8,2024-07-24,Cliente_003,Smartphone,Celulares,Centro-Oeste,6,2118.24
9,2024-05-15,Cliente_030,Mouse,Perifericos,Nordeste,3,113.08
11,2024-08-27,Cliente_025,Monitor,Computadores,Norte,10,1205.59
12,2024-05-30,Cliente_022,Tablet,Celulares,Sul,2,1781.21
13,2024-11-23,Cliente_007,Teclado,Perifericos,Sudeste,5,250.31
14,2024-01-10,Cliente_021,Teclado,Perifericos,Norte,8,234.47
15,2024-02-05,Cliente_006,Notebook,Computadores,Norte,8,3767.67
16,2024-10-03,Cliente_028,Teclado,Perifericos,Norte,4,260.21
18,2024-06-18,Cliente_005,Smartphone,Celulares,Norte,1,2048.94
19,2024-08-30,Cliente_031,Teclado,Perifericos,Sudeste,42,262.3
20,2024-07-25,Cliente_007,Mouse,Perifericos,Sul,1,124.38
21,2024-02-08,Cliente_030,Tablet,Celulares,Sudeste,4,1783.62
22,2024-09-05,Cliente_011,Smartphone,Celulares,Centro-Oeste,7,2193.44
23,2024-12-04,Cliente_028,Tablet,Celulares,Nordeste,9,1862.9
24,2024-09-01,Cliente_004,Notebook,Computadores,Norte,10,3501.6
25,2024-03-02,Cliente_016,Notebook,Computadores,Norte,7,3747.29
26,2024-04-14,Cliente_021,Teclado,Perifericos,Sudeste,5,256.79
27,2024-10-15,Cliente_030,Notebook,Computadores,Sul,10,3777.81
29,2024-05-15,Cliente_007,Mouse,Perifericos,Sul,3,112.62
30,2024-09-07,Cliente_017,Mouse,Perifericos,Nordeste,9,115.22
32,2024-10-09,Cliente_024,Notebook,Computadores,Nordeste,10,3302.93
33,2024-06-30,Cliente_016,Smartphone,Celulares,Sul,2,2298.6
34,2024-04-01,Cliente_027,Smartphone,Celulares,Nordeste,1,2283.27
35,2024-01-20,Cliente_007,Smartphone,Celulares,Sul,7,2326.22
36,2024-07-23,Cliente_002,Smartphone,Celulares,Norte,4,2139.55
37,2024-05-13,Cliente_002,Tablet,Celulares,Nordeste,2,1707.43
39,2024-12-06,Cliente_028,Tablet,Celulares,Centro-Oeste,2,1921.18
40,2024-10-10,Cliente_026,Tablet,Celulares,Nordeste,5,1692.66
41,2024-05-26,Cliente_001,Monitor,Computadores,Norte,5,1144.36
42,2024-05-25,Cliente_011,Monitor,Computadores,Sul,2,1202.97
43,2024-01-24,Cliente_010,Smartphone,Celulares,Sul,1,2110.18
45,2024-08-25,Cliente_012,Smartphone,Celulares,Norte,9,10208.4
46,2024-11-09,Cliente_021,Teclado,Perifericos,Centro-Oeste,8,262.6
47,2024-11-22,Cliente_017,Monitor,Computadores,Sul,4,1157.24
48,2024-10-03,Cliente_022,Tablet,Celulares,Nordeste,6,1679.21
49,2024-02-01,Cliente_030,Teclado,Perifericos,Norte,7,238.27
50,2024-06-29,Cliente_031,Monitor,Computadores,Norte,1,1161.33
52,2024-07-20,Cliente_035,Smartphone,Celulares,Nordeste,1,2232.35
53,2024-08-20,Cliente_021,Monitor,Computadores,Sudeste,4,1166.75
54,2024-01-27,Cliente_002,Monitor,Computadores,Sul,9,1295.98
55,2024-03-19,Cliente_002,Smartphone,Celulares,Nordeste,10,2107.97
57,2024-12-22,Cliente_016,Notebook,Computadores,Nordeste,2,3652.59
58,2024-02-05,Cliente_028,Teclado,Perifericos,Centro-Oeste,6,250.24
59,2024-03-31,Cliente_010,Mouse,Perifericos,Centro-Oeste,7,124.49
60,2024-05-05,Cliente_018,Mouse,Perifericos,Centro-Oeste,6,126.35
61,2024-06-15,Cliente_002,Tablet,Celulares,Nordeste,8,1708.37
62,2024-04-07,Cliente_001,Teclado,Perifericos,Centro-Oeste,9,233.42
63,2024-05-30,Cliente_002,Monitor,Computadores,Centro-Oeste,2,1146.55
64,2024-12-25,Cliente_022,Mouse,Perifericos,Sul,6,119.11
65,2024-05-21,Cliente_014,Smartphone,Celulares,Sul,8,2279.05
67,2024-05-25,Cliente_001,Notebook,Computadores,Sudeste,10,3482.86
69,2024-11-01,Cliente_027,Teclado,Perifericos,Centro-Oeste,10,261.63
70,2024-02-20,Cliente_004,Tablet,Celulares,Sudeste,10,1928.91
72,2024-11-16,Cliente_015,Mouse,Perifericos,Nordeste,5,121.72
73,2024-03-25,Cliente_005,Smartphone,Celulares,Nordeste,1,2303.01
74,2024-09-13,Cliente_026,Mouse,Perifericos,Sudeste,5,120.77
75,2024-10-27,Cliente_015,Notebook,Computadores,Centro-Oeste,70,3752.44
76,2024-08-11,Cliente_012,Tablet,Celulares,Sul,10,1838.82
77,2024-05-27,Cliente_027,Tablet,Celulares,Sudeste,8,1846.82
78,2024-12-02,Cliente_033,Monitor,Computadores,Centro-Oeste,1,1270.92
79,2024-10-08,Cliente_014,Notebook,Computadores,Sul,5,3293.37
80,2024-10-09,Cliente_011,Mouse,Perifericos,Sul,5,110.66
81,2024-12-27,Cliente_019,Monitor,Computadores,Norte,9,1156.5
83,2024-08-16,Cliente_032,Teclado,Perifericos,Sul,3,251.54
85,2024-01-19,Cliente_010,Mouse,Perifericos,Centro-Oeste,8,112.82
